[2017-03-20 17:58:22.844189] Iter=88 - Light Eval - n=20; mean=152.250000; std=96.483909; min=30.000000; max=430.000000
[2017-03-20 17:59:20.353591] Iter=89 - Light Eval - n=20; mean=246.500000; std=146.530938; min=45.000000; max=495.000000
[2017-03-20 18:00:21.039835] Iter=90 - Light Eval - n=20; mean=265.750000; std=172.720302; min=15.000000; max=610.000000
[2017-03-20 18:01:33.398990] Iter=90 - Full Eval - n=100; mean=278.600000; std=146.337578; min=15.000000; max=770.000000
[2017-03-20 18:02:33.805612] Iter=91 - Light Eval - n=20; mean=225.500000; std=143.992873; min=85.000000; max=600.000000
[2017-03-20 18:03:32.804437] Iter=92 - Light Eval - n=20; mean=230.000000; std=118.865249; min=60.000000; max=565.000000
[2017-03-20 18:04:35.216395] Iter=93 - Light Eval - n=20; mean=250.250000; std=123.442667; min=65.000000; max=590.000000
[2017-03-20 18:05:34.426427] Iter=94 - Light Eval - n=20; mean=166.000000; std=121.477743; min=15.000000; max=395.000000
[2017-03-20 18:06:32.896567] Iter=95 - Light Eval - n=20; mean=193.500000; std=59.804506; min=75.000000; max=335.000000
[2017-03-20 18:07:32.527295] Iter=96 - Light Eval - n=20; mean=208.750000; std=99.139389; min=10.000000; max=455.000000
[2017-03-20 18:08:30.571410] Iter=97 - Light Eval - n=20; mean=197.250000; std=152.897239; min=25.000000; max=555.000000
[2017-03-20 18:09:25.709245] Iter=98 - Light Eval - n=20; mean=112.500000; std=35.707142; min=50.000000; max=210.000000
[2017-03-20 18:10:25.091117] Iter=99 - Light Eval - n=20; mean=267.000000; std=133.952073; min=65.000000; max=515.000000
[2017-03-20 18:11:24.748876] Iter=100 - Light Eval - n=20; mean=260.500000; std=109.915039; min=90.000000; max=455.000000
[2017-03-20 18:12:25.522563] Iter=100 - Full Eval - n=100; mean=240.350000; std=107.026512; min=60.000000; max=680.000000
